10.1.1.413.9235	2006	Clustering, Dimensionality Reduction and Side Information
R1	10.1.1.23.5686	Feature Weighting in k-Means Clustering
R1	10.1.1.107.7109	The power of word clusters for text classification
R1	10.1.1.28.2970	Unsupervised Learning of Finite Mixture Models
R1	10.1.1.130.3511	Pairwise data clustering by deterministic annealing
R1	10.1.1.105.6753	Iterative double clustering for unsupervised and semi-supervised learning
R1	10.1.1.34.54	Unsupervised Texture Segmentation in a Deterministic Annealing Framework
R1	10.1.1.319.2001	Unsupervised texture segmentation using Gabor filters
R1	10.1.1.2.3384	Kernel PCA and De-Noising in Feature Spaces
R1	10.1.1.319.821	Enhancing image and video retrieval: Learning via equivalence constraints. http://www.cs.huji.ac.il/ daphna
R1	10.1.1.295.7306	Cover trees for nearest neighbor
R1	10.1.1.286.6133	Coupled two-way clustering analysis of gene microarray data
R1	10.1.1.411.6755	Diffusion kernels on graphs and other discrete input spaces
R1	10.1.1.3.8934	An introduction to variable and feature selection
R1	10.1.1.105.2851	Semi-supervised Learning by Entropy Minimization
R1	10.1.1.122.8861	Spectral grouping using the Nyström method
R1	10.1.1.68.2975	Feature selection for high-dimensional data: A fast correlation-based filter solution
R1	10.1.1.20.3428	Intrinsic Dimension Estimation Using Packing Numbers
R1	10.1.1.331.4723	Occupant classification system for automotive airbag suppression
R1	10.1.1.18.3212	Comparing Support Vector Machines with Gaussian Kernels to Radial Basis Function Classifiers
R1	10.1.1.3.1537	Out-of-Sample Extensions for LLE, Isomap, MDS, Eigenmaps, and Spectral Clustering
R1	10.1.1.108.42	Unsupervised learning using locally linear embedding: Experiments with face pose analysis
R1	10.1.1.330.8185	The pre-image problem in kernel methods
R1	10.1.1.131.1253	Unsupervised Learning of Image Manifolds by Semidefinite Programming
R1	10.1.1.122.5270	Segmentation given partial grouping constraints
R1	10.1.1.151.8622	Semi-supervised learning with penalized probabilistic clustering
R1	10.1.1.20.9196	Feature Selection from Huge Feature Sets
R1	10.1.1.331.4932	Landscape of clustering algorithms
R1	10.1.1.91.9082	Stability-Based Validation of Clustering Solutions
R1	10.1.1.76.3002	Subspace clustering of high-dimensional binary data - a probabilistic approach
R1	10.1.1.91.9526	For Most Large Underdetermined Systems of Linear Equations the Minimal ℓ1-norm Solution is also the Sparsest Solution
R1	10.1.1.385.5163	Beyond pairwise clustering
R1	10.1.1.119.1278	Candid covariance-free incremental principal component analysis
R1	10.1.1.3.2484	Low-Distortion Embeddings of Finite Metric Spaces
R1	10.1.1.131.4675	An algorithm for data-driven bandwidth selection
R1	10.1.1.118.4205	Inferring 3d body pose from silhouettes using activity manifold learning
R1	10.1.1.12.7001	String Kernels, Fisher Kernels and Finite State Automata
R1	10.1.1.46.228	Generalized Model Selection For Unsupervised Learning In High Dimensions
R1	10.1.1.4.5576	Locality Preserving Projections
R1	10.1.1.102.1005	Local fisher embedding
R1	10.1.1.130.9217	Non-Redundant Data Clustering
R1	10.1.1.16.3619	Global Coordination of Local Linear Models
R1	10.1.1.8.5817	Finding Predictive Gene Groups from Microarray Data
R1	10.1.1.92.1006	Path-based clustering for grouping of smooth curves and texture segmentation
R1	10.1.1.419.6537	Feature selection for unsupervised learning
R1	10.1.1.50.1792	A New Approach To Variable Selection In Least Squares Problems
R1	10.1.1.144.4109	Unsupervised Feature Selection Applied to Content-Based Retrieval of Lung Images
R1	10.1.1.47.5125	Bayesian Non-linear Modelling for the Prediction Competition
R1	10.1.1.132.7271	Semi-supervised learning on directed graphs
R1	10.1.1.72.783	Learning with constrained and unlabeled data
R1	10.1.1.110.1077	Computing gaussian mixture models with EM using equivalence constraints
R1	10.1.1.45.6320	Intrinsic Dimensionality Estimation with Optimally Topology Preserving Maps
R1	10.1.1.122.4909	On semi-supervised classification
R1	10.1.1.219.3482	Nonlinear dimensionality reduction by semidefinite programming and kernel matrix factorization
R1	10.1.1.61.1467	Nonparametric Transforms of Graph Kernels for Semi-Supervised Learning
R1	10.1.1.20.8258	Concept Learning and Feature Selecting Based on Square-Error Clustering
R1	10.1.1.117.5339	A direct formulation for sparse PCA using semidefinite programming
R1	10.1.1.124.4696	Regularization and variable selection via the Elastic Net
R1	10.1.1.411.8041	Regression approaches for microarray data analysis
R1	10.1.1.3.673	Hessian Eigenmaps: New Locally Linear Embedding Techniques For High-Dimensional Data
R1	10.1.1.138.5054	Separating style and content on a nonlinear manifold
R1	10.1.1.16.3363	Generalized Kernel Approach to Dissimilarity-based Classification
R1	10.1.1.146.2951	MML clustering of multi-state, Poisson, von Mises circular and Gaussian distributions
R1	10.1.1.420.9057	Feature selection in clustering problems
R1	10.1.1.57.7605	Manifold Parzen Windows
R1	10.1.1.142.3284	Simultaneous feature selection and clustering using mixture models
R1	10.1.1.69.548	Result analysis of the NIPS 2003 feature selection challenge
R1	10.1.1.2.2217	Clustering with Soft and Group Constraints
R1	10.1.1.5.3864	Adaptive Sparseness for Supervised Learning
R1	10.1.1.57.5261	Principal Curves Revisited
R1	10.1.1.19.8402	Coordinating Principal Component Analyzers
R1	10.1.1.16.499	Nonlinear Mapping from Multi-View Face Patterns to a Gaussian Distribution in a Low Dimensional Space
R1	10.1.1.29.1720	Dependency-Based Feature Selection for Clustering Symbolic Data
R1	10.1.1.53.2899	Conceptual Clustering in Information Retrieval
R1	10.1.1.3.2200	A Bayesian Approach to Joint Feature Selection and Classifier Design
R1	10.1.1.2.8593	Feature Selection in Mixture-Based Clustering
R1	10.1.1.215.4562	Nonlinear Manifold Learning For Data Stream
R1	10.1.1.420.6617	Learning to find pre-images
R1	10.1.1.84.8899	Non-linear cca and pca by alignment of local models
