10.1.1.112.8588	2006	Object Tracking: A Survey
R1	10.1.1.113.6035	W4: Real-time surveillance of people and their activities
R1	10.1.1.39.1649	Real-Time Tracking of Multiple People Using Continuous Detection
R1	10.1.1.21.1649	Error Analysis of Background Adaption
R1	10.1.1.51.9487	Video Indexing Based on Mosaic Representations
R1	10.1.1.108.8409	Overcomplete steerable pyramid filters and rotation invariance
R1	10.1.1.19.8042	Statistical Mosaics For Tracking
R1	10.1.1.16.2638	Space-Time Tracking
R1	10.1.1.143.4647	An affine invariant interest point detector
R1	10.1.1.1.4622	Contour Based Object Tracking with Occlusion Handling in Video Acquired Using Mobile Cameras
R1	10.1.1.122.5270	Segmentation given partial grouping constraints
R1	10.1.1.13.1733	Algorithms for Cooperative Multisensor Surveillance
R1	10.1.1.15.7472	Consistent Labeling of Tracked Objects in Multiple Cameras with Overlapping Fields of View
R1	10.1.1.14.6565	M2Tracker: A Multi-View Approach to Segmenting and Tracking People in a Cluttered Scene Using Region-Based Stereo
R1	10.1.1.418.3158	Tracking across multiple cameras with disjoint views
R1	10.1.1.105.3671	Resolving motion correspondence for densely moving points
R1	10.1.1.95.5853	Online ensemble learning
R1	10.1.1.2.7478	A Non-Iterative Greedy Algorithm for Multi-frame Point Correspondence
R1	10.1.1.85.5477	Temporal spatio-velocity transform and its application to tracking and interaction
R1	10.1.1.127.4980	A hierarchical bayesian network for event recognition of human actions and interactions
R1	10.1.1.21.2524	Mean Shift Analysis and Applications
R1	10.1.1.5.9843	Adaptive Visual Tracking and Recognition using Particle Filters
R1	10.1.1.73.4574	Probabilistic object tracking using multiple features
R1	10.1.1.389.4167	Object contour tracking using graph cuts based active contours
